#{"t_start": 1646005197.5494184, "env_id": null}
r,l,t
-277.8,977,25.545645
-323.1,894,45.82144
-303.7,862,63.569002
-324.8,923,83.469785
-278.3,1026,107.401104
-193.9,935,125.667891
-361.5,1126,150.045276
-254.8,847,166.171984
-422.0,887,183.149763
-441.6,904,200.932458
-339.8,916,233.327024
-60.5,415,254.109565
-74.9,689,287.334199
-70.1,581,313.763218
37.4,585,341.624127
-3.6,429,359.952941
-230.3,527,385.373252
-159.1,649,414.408686
-152.4,521,437.453192
-91.1,560,463.678861
-166.0,578,490.305101
-174.4,511,512.360693
-97.2,571,539.131132
-121.7,599,566.523765
-38.2,689,599.49358
-43.7,498,619.653262
-49.7,618,651.317291
-132.2,574,675.860244
7.7,457,704.889391
-105.9,542,728.558055
-171.3,436,749.060537
-25.6,523,772.094216
-100.4,428,790.567659
56.6,484,812.741008
-161.1,550,838.603247
-115.1,644,867.646322
-140.9,681,899.667119
-88.6,387,917.67956
-140.6,467,937.160917
-28.1,532,963.805442
-97.0,585,991.138711
-60.7,553,1015.66419
-48.9,475,1037.776557
-114.9,503,1059.901515
-188.3,561,1085.123158
-47.4,522,1110.874838
-22.2,562,1136.044532
-46.8,456,1164.604288
-78.2,521,1188.316745
-30.5,541,1214.912298
-141.7,598,1241.196543
-134.5,487,1264.205474
-281.6,628,1295.012069
-47.4,599,1323.143371
-117.0,536,1348.246933
-30.5,550,1373.370467
-34.0,521,1399.083326
-156.6,395,1416.632102
-53.6,493,1439.672887
-242.7,626,1468.87205
-127.2,523,1492.293711
-244.5,544,1519.717527
-47.8,533,1542.915872
-96.8,431,1561.4635
-87.7,514,1584.88941
-44.6,532,1611.508237
-99.8,528,1641.242844
-68.7,469,1663.474602
-130.4,568,1689.347882
-161.9,525,1715.790496
-47.5,537,1739.794172
-172.8,607,1768.865344
-55.1,475,1791.901549
-17.0,558,1816.631148
-30.1,514,1840.243634
-6.0,417,1861.200155
15.1,538,1885.657939
-157.0,526,1908.704283
-44.3,525,1932.386158
-87.9,551,1959.989478
-133.9,716,1995.035838
-113.6,446,2016.481278
-124.3,534,2040.87281
-117.4,491,2062.809637
-89.3,577,2090.835967
-33.6,415,2115.758
-167.6,551,2140.920544
16.6,552,2168.55063
-144.5,519,2192.649655
-32.7,573,2220.148735
-28.1,542,2245.717317
-71.8,428,2264.712539
-81.5,536,2291.1008
-82.5,563,2315.562157
-50.8,544,2343.073637
-113.7,532,2366.682308
-31.4,467,2388.893435
-56.3,705,2423.932667
-33.4,480,2445.987292
-142.1,573,2471.767939
-64.9,379,2490.026837
-110.9,611,2519.924381
-17.1,558,2547.422148
-59.0,432,2566.63217
-70.3,374,2590.807417
-138.5,449,2610.404646
-338.1,566,2639.458617
-5.8,595,2668.526241
-183.9,485,2691.968803
-91.9,450,2711.480757
-5.2,522,2737.654189
-57.0,391,2755.929409
-102.2,579,2782.055191
-125.2,636,2815.117908
-13.6,456,2835.001759
-16.2,415,2853.132311
0.1,529,2880.475204
-99.3,405,2899.158314
-161.8,438,2918.740695
-133.9,463,2941.770042
6.7,527,2966.334409
-139.0,498,2989.139163
-67.2,385,3007.144828
-197.5,442,3028.190813
-113.1,453,3050.334941
-177.4,439,3077.08789
-144.4,467,3099.760202
-33.1,582,3127.845374
-21.2,499,3151.530343
-189.0,582,3178.156182
-92.3,491,3201.370861
-72.2,463,3224.42139
-7.1,429,3243.838795
-19.2,513,3268.511321
-64.0,510,3294.731467
-76.3,425,3313.208135
-109.2,591,3342.229702
-138.4,654,3372.969542
-37.3,362,3391.469212
-18.0,486,3414.47042
-103.3,507,3438.471267
-175.1,534,3464.73016
-232.0,516,3488.785239
-77.3,386,3507.045387
-143.4,498,3533.08057
-59.4,492,3556.584675
10.3,404,3575.708822
-59.6,453,3598.596769
-30.9,520,3623.464481
-133.2,517,3647.566598
-5.1,374,3666.394237
-91.5,583,3695.442003
-105.9,518,3720.47453
-108.9,535,3745.752009
-82.6,393,3765.293871
25.8,398,3784.881964
-116.8,529,3810.961742
-130.7,385,3829.335726
-105.1,400,3847.858742
-153.0,524,3873.466278
-4.7,567,3904.755782
-61.6,505,3930.800157
-75.2,457,3954.543253
-69.2,526,3979.682646
-20.8,563,4008.716201
-66.6,416,4028.610005
-41.5,477,4058.97463
-173.9,626,4090.486799
-39.6,394,4109.825474
-38.3,410,4128.754241
-135.3,482,4152.557684
-79.2,388,4171.590325
-31.8,468,4194.172394
-112.1,436,4217.319275
-88.2,483,4239.117831
-29.1,327,4256.211144
-67.0,405,4276.233718
-52.2,519,4301.780377
-37.3,429,4322.134606
-96.1,457,4346.25777
-51.6,437,4366.683771
-66.1,523,4391.530849
-2.3,464,4415.583258
-80.3,554,4445.522197
-222.9,579,4474.753241
-166.2,519,4505.255221
-103.6,418,4523.729553
-128.3,519,4552.781285
-138.2,418,4572.400226
-141.9,483,4595.424936
-152.6,472,4617.654547
-160.1,428,4637.390558
-144.9,558,4663.202127
20.9,369,4680.801178
-7.9,392,4698.324435
-51.4,405,4717.171213
-39.0,395,4735.980743
-117.2,374,4754.042868
-77.6,422,4773.322034
-344.8,576,4802.798708
-271.3,576,4831.836873
-99.3,431,4852.733393
-147.3,556,4877.831564
-28.3,430,4898.845567
-39.5,497,4923.30599
-64.7,567,4949.340107
-7.5,477,4973.091348
38.6,453,4995.31239
-71.2,453,5015.743395
-38.2,447,5039.36849
-26.2,445,5058.707198
-53.4,382,5076.915933
-72.2,474,5099.648685
-215.3,491,5122.7447
-212.2,613,5153.05928
-93.4,457,5173.409084
-168.1,454,5196.080179
-115.9,399,5215.545973
-134.6,448,5234.794765
66.4,429,5256.875332
-190.6,498,5281.223886
-72.4,402,5299.565663
-82.0,510,5323.278095
-59.3,569,5350.2098
-231.9,613,5383.458963
-87.4,372,5399.756703
16.6,440,5422.045693
-144.1,444,5441.188343
-8.9,551,5468.572403
-112.7,404,5487.107287
-115.2,408,5506.330648
-87.6,681,5541.179046
-84.3,463,5560.564237
-245.1,606,5590.931539
-28.0,442,5613.74228
-14.0,420,5633.30474
-84.8,413,5653.923927
-14.0,366,5671.655489
-115.5,431,5691.889429
-67.4,414,5710.92369
-136.2,458,5732.928555
-150.8,492,5758.625165
-143.3,456,5780.170264
-100.7,369,5799.343233
-9.8,521,5824.44054
-109.8,463,5846.654686
-201.0,506,5870.93499
-134.4,415,5889.611773
18.1,569,5918.173057
-116.2,441,5938.505698
-10.5,536,5963.366426
-137.5,405,5983.453172
-68.0,386,6001.442745
-189.6,478,6026.507125
-166.3,568,6055.002499
-185.8,487,6079.399739
-140.7,450,6099.594929
19.9,386,6118.792037
-101.8,521,6143.907664
-125.6,381,6162.5233
-97.4,392,6181.549955
-47.6,387,6199.709045
-76.7,415,6218.747494
-123.2,356,6235.12322
-284.2,498,6260.140887
-149.7,435,6282.68505
-149.6,376,6301.107966
-117.4,482,6322.16926
30.0,449,6344.913218
-78.4,426,6364.460108
-178.5,551,6392.664089
-98.6,437,6412.373923
-55.1,500,6436.487768
-147.7,492,6461.352014
-170.7,470,6484.886044
-99.1,492,6508.929116
-97.2,429,6528.345952
-35.5,375,6547.060142
-187.4,595,6576.995999
-276.7,488,6599.741256
-74.6,330,6617.021875
-171.3,527,6642.152627
-27.2,445,6665.255971
-134.6,518,6691.681765
-69.1,542,6716.874812
-122.1,559,6746.526061
-122.5,397,6765.077406
-43.7,411,6784.1222
-166.4,447,6805.056626
-69.1,359,6822.950475
-81.2,438,6842.980919
-74.3,386,6861.779393
-43.6,490,6885.888424
7.7,474,6909.617358
-34.1,510,6934.295671
-42.2,378,6950.636719
-85.7,441,6972.505933
-127.4,462,6995.544926
-87.2,397,7012.234431
-116.5,332,7029.558321
-60.1,379,7047.997075
-160.1,485,7070.320264
-72.5,463,7093.362804
-227.7,515,7119.144917
-206.6,548,7147.60494
-117.9,462,7168.746429
-135.0,442,7191.879757
-33.3,420,7211.579317
-104.0,387,7230.5116
-145.2,444,7250.855989
23.2,462,7275.023937
-160.9,491,7300.726418
-10.4,408,7319.867541
-11.6,403,7339.895544
-136.0,506,7364.772392
-81.9,374,7383.34602
-93.8,433,7402.797791
-125.2,483,7427.285326
-135.2,536,7452.61452
-59.1,389,7472.458316
-51.9,524,7498.239055
8.1,424,7520.495588
-79.3,394,7540.943549
-146.8,483,7564.448708
-285.8,456,7588.442696
-46.5,385,7606.568209
-219.0,608,7635.915042
-68.9,387,7654.299722
-30.2,486,7678.787587
-156.1,555,7704.709676
-255.3,496,7729.275128
-109.9,565,7758.182858
-130.7,437,7778.620229
-196.3,544,7806.170646
-99.7,420,7825.101334
-98.0,384,7844.89073
-63.7,468,7866.10496
-39.7,357,7883.791232
-141.3,411,7903.674667
-81.4,415,7924.202732
-108.0,364,7942.537684
-121.1,388,7961.672626
-92.9,598,7990.716652
-135.4,530,8017.001847
-21.1,403,8036.044689
-181.9,493,8061.450808
-90.5,441,8081.66399
-126.2,558,8111.202744
-125.3,500,8136.968672
-154.4,368,8156.147868
-61.9,482,8177.561353
-55.9,370,8195.618588
-99.2,429,8215.650055
-99.4,359,8233.921526
-46.8,404,8253.936933
-177.0,461,8277.988679
-43.9,342,8294.131551
-105.3,477,8318.180695
-215.7,461,8340.862396
-42.6,321,8358.314726
-236.3,591,8389.221701
22.8,512,8414.76169
-71.0,493,8439.607281
-86.4,499,8466.633207
-101.0,377,8484.761233
-111.5,427,8508.353689
-102.7,389,8525.231376
-39.3,354,8544.326748
-84.8,460,8568.264433
-4.5,395,8588.730341
-117.2,409,8609.700904
-55.2,434,8631.108311
-77.6,547,8658.00495
-87.5,350,8676.466366
-51.0,347,8693.28125
-65.2,316,8710.339321
-70.9,390,8727.626076
-127.8,368,8747.202821
-199.7,417,8767.801381
-125.5,360,8786.222759
-160.8,480,8812.291217
-70.1,429,8832.437195
-28.2,363,8850.511901
-170.0,528,8877.591535
-179.7,418,8898.13858
-119.5,544,8928.012206
-83.3,538,8955.430036
-23.6,426,8976.594297
-53.7,383,8996.607162
-72.5,447,9020.412478
-123.0,430,9041.239985
-13.3,381,9060.624198
-120.1,425,9081.599314
-79.3,397,9101.919859
-168.7,463,9124.616836
-223.8,453,9148.829592
-3.0,421,9169.090077
-122.7,464,9193.104256
-83.2,442,9213.171746
-83.2,359,9231.594979
-191.6,481,9256.592585
-283.4,515,9282.692609
-76.6,359,9299.091537
-156.7,387,9318.557493
-196.5,421,9339.982456
-84.9,419,9363.477364
-72.9,519,9389.637803
-84.5,478,9414.820086
-109.5,429,9436.185083
4.2,472,9461.262815
-141.2,461,9484.656945
-119.1,438,9508.84629
-53.8,388,9528.738637
-75.6,408,9549.277352
-176.7,475,9572.321575
-176.3,469,9598.065424
-48.8,355,9617.168631
-186.3,427,9638.127141
-45.3,338,9654.264865
-97.8,357,9672.887662
-174.3,384,9693.136534
-145.6,373,9710.523676
-183.9,469,9735.646152
-77.6,466,9760.554523
-193.5,469,9784.317815
-79.5,372,9804.130899
-23.9,351,9823.207571
-70.9,514,9849.084993
-267.3,448,9871.238292
-59.7,303,9887.416699
-95.1,470,9912.868532
-123.4,418,9933.68414
-74.4,443,9957.19611
-130.0,437,9978.512329
-239.1,465,10003.657883
-31.7,357,10020.143656
-103.2,386,10039.391893
-346.5,502,10066.933211
-210.9,374,10085.961398
-182.9,510,10112.111239
-104.8,473,10137.859469
-173.4,453,10159.867727
-35.4,310,10175.275193
-198.4,504,10201.853354
-145.1,375,10222.372523
-30.6,349,10241.798568
-378.8,494,10268.379571
-103.1,380,10286.172458
-73.4,430,10310.681267
-136.4,489,10334.584504
-174.1,485,10360.643918
-70.5,410,10381.403427
-188.4,457,10406.708082
-203.5,469,10431.470835
-178.9,487,10457.951494
-41.1,381,10476.500977
-41.5,401,10497.223029
-41.0,399,10517.913795
-59.7,443,10541.450828
-18.4,381,10561.328667
-87.8,399,10582.418608
-99.1,450,10604.28049
-100.7,357,10623.496073
-163.2,454,10645.762169
-98.9,363,10665.088309
-133.8,441,10687.148269
-73.1,314,10703.585156
-158.7,418,10726.49294
-98.3,468,10749.573557
-45.9,386,10770.037656
-258.3,509,10797.469471
-151.1,379,10817.649627
-161.5,389,10838.130054
-253.2,501,10865.230407
-318.9,457,10887.986465
-182.0,385,10908.432801
-109.8,343,10927.149088
-43.2,358,10945.130909
34.5,344,10964.130169
-137.8,375,10984.472779
-78.8,347,11000.657451
-90.2,454,11024.63687
-142.9,431,11045.765183
-124.7,348,11062.856711
-112.2,332,11082.460648
-113.8,347,11098.928683
4.1,369,11118.285589
-106.4,330,11134.689011
-135.7,516,11161.798394
-429.4,443,11186.474234
-71.6,366,11204.890322
-26.1,513,11231.780483
-27.3,341,11250.666837
-243.3,507,11276.612937
-222.4,425,11299.103887
-175.6,414,11321.298747
-123.9,521,11349.634638
-0.9,344,11366.485427
-174.6,341,11384.303537
-261.5,425,11409.285977
-324.0,530,11437.745748
-96.9,321,11454.295266
-95.9,397,11474.83719
-34.6,387,11495.416161
2.5,343,11511.98629
-118.7,474,11539.03469
-301.5,532,11568.459793
-214.4,529,11596.059691
-45.6,383,11615.781033
-51.9,359,11633.315225
-123.7,346,11651.857456
-107.9,360,11669.118916
-122.0,397,11689.531767
-84.3,392,11710.521316
-131.5,461,11736.674383
-65.0,430,11758.01118
-37.5,333,11774.290918
-80.0,364,11794.339556
11.8,309,11811.64098
-101.9,372,11831.320632
-12.6,326,11847.47937
-71.9,404,11868.987476
-132.9,356,11887.62762
-114.8,363,11904.234477
-200.2,372,11924.384609
-429.5,503,11952.420354
-155.2,380,11972.967283
-88.8,376,11992.321293
-158.7,480,12015.807554
-323.8,390,12037.040977
-233.8,415,12061.596887
-156.6,365,12078.686867
-151.7,507,12106.31581
-356.4,626,12140.393429
-136.2,362,12160.746664
-269.1,432,12183.430325
-211.3,451,12209.734734
-36.9,405,12230.613295
-264.1,435,12253.459889
-104.5,324,12272.064341
-99.0,392,12290.514945
-230.6,396,12311.999654
-59.1,371,12332.506994
-101.1,320,12349.266008
-165.8,423,12373.310657
-138.1,335,12389.835149
-26.4,455,12413.400533
-58.3,319,12431.781397
-237.9,436,12453.761421
-63.7,533,12482.286308
-169.9,383,12503.710192
-214.4,331,12522.81809
-93.0,350,12540.384073
-59.0,405,12561.821048
-248.9,436,12583.890148
-149.2,311,12602.475825
-43.0,384,12620.848755
-426.8,466,12646.483607
-244.2,430,12669.778632
-17.5,372,12689.930481
-79.4,360,12710.113439
-108.1,333,12727.032198
-147.7,374,12747.071743
-176.5,467,12770.439514
-170.4,347,12789.264779
-260.2,468,12815.98431
-71.9,381,12833.634443
-78.4,331,12852.091767
-149.2,447,12875.654246
-171.6,353,12896.098557
