#{"t_start": 1646314571.7536306, "env_id": null}
r,l,t
-3336.2,5097,31.641414
-3122.2,4852,63.016331
-850.3,1683,96.259178
-2525.8,3908,127.60619
-2892.4,4543,159.018023
-3210.5,4974,190.919089
-3283.1,5093,222.439772
-3153.0,4973,253.979555
-2864.2,4775,285.16346
-2710.6,4652,316.257526
-2850.3,4826,347.625448
-3010.3,4813,378.737465
-3000.1,4783,409.874607
-2931.3,4956,441.215369
-2854.8,4969,472.502093
-2883.0,4973,503.979346
-2839.0,4842,535.203587
-2911.3,4882,566.326065
-2823.9,4887,597.705735
-2718.7,4880,628.897638
-2686.2,4852,660.242432
-2653.5,4822,691.356863
-2759.5,4867,722.567121
-2656.2,4815,753.701895
-2692.5,4962,784.789784
-2615.6,4860,816.070575
-2677.1,4940,847.701424
-2591.9,4893,879.016145
-2589.5,4900,910.358141
-2485.2,4810,941.426139
-2432.7,4815,972.500586
-2360.5,4719,1003.577533
-2497.0,4837,1034.6632
-2445.6,4788,1065.740979
-2320.8,4721,1096.89449
-2188.6,4470,1128.520609
-2395.8,4850,1160.020685
-2263.7,4676,1191.117885
-2232.6,4521,1222.251552
-2205.6,4526,1253.304573
-2138.9,4579,1284.413675
-2284.7,4788,1315.512812
-2318.7,4792,1346.661048
-2144.0,4689,1377.763793
-2224.8,4662,1408.999804
-2091.2,4540,1440.163238
-2035.4,4579,1471.391953
-2034.0,4613,1502.51578
-2026.8,4602,1533.619047
-2104.6,4788,1564.793126
-2018.7,4639,1595.908195
-2003.7,4705,1627.012523
-2077.4,4737,1658.16636
-1975.8,4720,1689.248326
-1962.2,4702,1720.356538
-1895.6,4616,1751.447605
-1873.9,4683,1782.594405
-1926.9,4677,1813.725129
-1761.4,4595,1844.821549
-1790.4,4642,1875.919232
-1820.9,4646,1907.012421
-1687.2,4402,1938.129698
-1774.3,4639,1969.220096
-1818.4,4515,2000.3886
-1602.5,4540,2031.501643
-1700.3,4648,2062.616164
-1593.8,4402,2093.712326
-1567.2,4399,2124.885943
-1492.6,4361,2155.973792
-1595.8,4492,2187.04587
-1518.0,4471,2218.111032
-1521.4,4333,2249.463358
-1489.2,4407,2280.674091
-1514.1,4562,2311.883162
-1542.2,4560,2342.959696
-1450.3,4370,2374.054638
-1472.9,4548,2405.124445
-1432.4,4400,2436.234135
-1440.8,4557,2467.30237
-1359.5,4359,2498.382591
-1329.2,4462,2529.459524
-1271.0,4384,2560.5634
-1348.4,4494,2591.74855
-1313.7,4562,2622.854755
-1778.8,4237,2653.911724
-1236.4,4436,2684.987526
-1219.3,4340,2716.108807
-1221.3,4482,2747.267928
-1183.8,4356,2778.389807
-1146.0,4473,2809.45122
-1080.1,4245,2840.599986
-1190.4,4537,2871.65785
-1097.0,4391,2902.754424
-1109.1,4307,2933.860389
-1010.1,4380,2964.935452
-924.6,4198,2996.060252
-977.5,4291,3027.213128
-928.6,4204,3058.295204
-1009.6,4325,3089.378318
-904.2,4169,3120.47987
-964.2,4235,3151.558936
-959.7,4389,3182.723425
-894.4,4309,3213.863887
-857.8,4359,3244.979429
-851.4,4259,3276.08653
-816.2,4242,3307.173563
-874.7,4216,3338.24048
-736.1,3941,3369.425006
-761.4,4287,3400.488184
-758.2,4152,3431.598124
-700.7,3908,3462.658845
-809.9,4259,3493.720995
-657.2,3927,3524.797981
-650.5,4271,3555.877951
-660.4,4041,3587.021399
-614.1,4268,3618.103292
-660.4,4251,3649.188137
-721.6,4354,3680.239754
-592.2,4265,3711.313581
-518.6,4130,3742.386073
-536.3,4294,3773.444425
-539.9,4214,3804.513143
-530.2,4192,3835.565358
-429.4,4163,3866.635237
-565.2,4209,3897.690353
-505.5,4181,3928.759395
-427.3,4052,3959.862845
-396.2,4160,3990.942868
-459.1,4166,4022.008
-391.6,4247,4053.090656
-460.3,4306,4084.183083
-386.0,4063,4115.246974
-288.7,4175,4146.307052
-350.3,4091,4177.37965
-326.6,4178,4208.489885
-292.1,4024,4239.574337
-280.9,4227,4270.634053
-222.3,4188,4301.71621
-276.6,4084,4332.785936
-233.7,4205,4363.84837
-191.9,3994,4394.945299
-187.0,4166,4426.042232
-260.1,4198,4457.103135
-180.5,4072,4488.169988
-141.6,4200,4519.23423
-152.5,4052,4550.284445
-146.9,4220,4581.35079
-160.6,4171,4612.426365
-85.8,3957,4643.524995
-95.1,4148,4675.375168
-84.1,3982,4706.439349
-60.4,4077,4737.524599
-8.8,4049,4769.235886
-29.8,3945,4800.312696
-33.4,3991,4831.391824
26.6,3961,4862.467742
-22.4,4062,4893.545021
55.1,4043,4925.141232
65.6,4123,4956.193084
116.0,4074,4987.295202
105.4,3975,5018.379251
76.7,4091,5049.435977
104.8,3898,5080.504034
186.9,4076,5111.562206
138.4,4092,5142.621046
174.5,4007,5173.680248
130.8,4090,5204.737483
237.0,3950,5235.790582
249.7,4140,5266.862903
252.7,4079,5297.913373
210.0,3954,5328.971368
238.8,4018,5360.021095
289.5,3959,5391.096838
309.1,4158,5422.174315
318.5,3915,5453.236685
356.0,3935,5484.318447
317.1,4031,5515.384186
290.3,3435,5548.324047
327.5,4308,5579.461505
400.3,4415,5610.520332
476.0,4234,5641.5748
495.2,4595,5672.636772
566.2,4386,5703.70412
486.4,4686,5734.751577
596.1,4483,5765.802863
604.2,4589,5796.862075
555.5,4484,5827.962187
582.3,4448,5859.015321
602.7,4530,5890.075495
608.0,4379,5921.122327
634.0,4363,5953.429535
683.1,4301,5984.490844
702.7,4495,6015.535618
741.5,4521,6046.589183
768.8,4559,6077.64084
662.8,4480,6108.70251
691.4,4453,6139.786699
731.5,4543,6170.839757
665.9,4483,6201.904818
699.6,4415,6232.957786
676.4,4396,6264.018746
667.4,4462,6295.07987
684.6,4385,6326.140543
693.4,4471,6357.191743
689.2,4510,6388.243361
717.3,4523,6419.299136
720.7,4541,6450.349962
744.9,4426,6481.40823
699.4,4529,6512.462192
597.0,3655,6543.520043
626.6,3894,6574.576057
681.9,4032,6605.625021
623.8,3962,6636.679735
655.8,4083,6667.741986
624.8,3946,6698.820758
611.3,3927,6729.873167
611.0,3895,6760.919444
628.5,4422,6791.976792
665.3,4571,6823.038533
668.0,4362,6854.097491
716.8,4523,6885.142884
676.7,4485,6916.205522
670.7,4165,6947.264033
653.4,3920,6978.31897
623.5,4140,7009.375665
653.6,4011,7040.433879
606.8,4015,7071.496904
638.4,4112,7102.541038
